0|Cathy Hobbs|1001010110001011001011000001001001010|10000/110/11110010101|1010001011010|
1|George Rynders|1001011001011001110111001111100011101|11/1001/11110100001|111110100001101|
10|David Jolissaint|111100010101000001111001011111010011|100/101/11110011011|100010011010011|
11|John Thompson|111000010100101011011001010010001001|10001/10/11110010110|1101010011010110|
100|Catherine Ford|1001001101000110100000001100101001100|11101/1010/11111011001|1001000001010011|
101|Teodoro Eanni|10011100100101110010010101011100010|1100/100/11110010011|10001110001101000|
110|Victor Snellings|1000000100001111111110001101101011100|101/100/11111100010|100111001010110|
111|Diego Thacker|1111010000111111001110110011101010|1/1001/11110010101|1011111011000101|
1000|Hal Perrotta|111000011000100101000001000101001101|10010/1100/11111000101|1100010100011|
1001|Jessie Charles|110100000101010101101000000101001001|101/10/11111010111|10111111101001100|
1010|Elizabeth Dougherty|1011100110110111011010011010011111011|10100/1010/11110111100|10110001001|
1011|Constance Armstrong|11101011010011110010001011100011000|11111/11/11111011011|1111110010011111|
1100|Deanna Ybarra|11000101011110100001001111100010100|11100/101/11110001101|10010110011|
1101|Heather Robson|1000000100001101111101100000110110101|100/1/11111010111|1001010100011010|
1110|Tom Sapienza|1001010101010111010000011101110100110|1101/1001/11111011100|1111101001000000|
1111|Jose Kujawa|1010111110110010110000011110001000011|1001/1010/11110110101|10000111101111101|
10000|Lola Jones|101101111011110110100000111111011001|10011/101/11110111100|101110100011001|
10001|John Moore|1000010011110110110100000011100101000|11000/110/11111010101|1111111010000110|
10010|Joe Black|1000011001101011001011010000100001010|10100/11/11111011111|11111011111100|
10011|Raymond Bray|111011011101101000001010000101110100|11/1100/11111011111|111111101001011|
10100|Judith Egan|1001011010011010011001011101011000011|11000/1/11110011001|100101000101|
10101|Shirley Letchworth|101101101110001011101011100101011010|11/100/11111100101|1111111101110100|
10110|Kim Fossett|1000101101000110001000100101010001010|10101/1011/11110111011|1101000111101100|
10111|Margaret Taul|101111010010110111100100010101011001|11110/1011/11110001111|1010101000000110|
11000|Robert Dillard|11010011010011001101100111101110100|10100/111/11110011110|10111100000110111|
11001|Sherry Fata|101100100000011110010001100111101000|101/100/11111100100|101011100001111|
11010|Peter Bryan|10011101000011001111110101001110000|1011/1000/11111001101|110001011100001|
11011|Elaine Mahood|11101100001111011010010010000011101|10111/1/11110011111|10011001110000101|
11100|Michael Hidvegi|1000101001110111101011100110010110100|1000/111/11110100101|1101100100010110|
11101|Melissa Cayea|1011011100101001100100111011011000010|11100/11/11110101001|101001000101011|
11110|Jenny Berry|1011000000110000101101100000100111011|111/1100/11111001001|1001111010001100|
11111|Mary Morris|1010010011000001000100000101010010001|1001/1/11110110111|10001001010011100|
100000|Ben Mayfield|1010111110100011011010100011101001011|100/11/11110010010|1111111101101111|
